Date,SP500_Close,XLY_Close,XLP_Close,XLE_Close,XLF_Close,XLV_Close,XLI_Close,XLB_Close,XLK_Close,XLU_Close,SP_change,PctChange
3/12/2003,804.19,20.9,18.14,21.8,15.96,25.3,18.22,17.25,13.82,17.53,,
3/13/2003,831.9,22.01,18.54,21.89,16.64,25.66,18.75,18.02,14.56,17.84,3%,78
3/14/2003,833.27,22.05,18.51,21.8,16.71,25.45,19.05,18.12,14.61,17.91,0%,40
3/17/2003,862.79,23.11,19.04,22.08,17.22,26.17,19.59,18.73,15.28,18.31,4%,79
3/18/2003,866.45,22.96,18.9,22.5,17.32,26.45,19.85,19.1,15.35,18.52,0%,49
3/19/2003,874.02,23.4,19.22,22.53,17.57,26.75,19.97,19.03,15.32,18.42,1%,57
3/20/2003,875.84,23.58,19.18,22.75,17.6,26.72,19.96,19.06,15.3,18.63,0%,43
3/21/2003,895.89,24.28,19.49,22.38,17.96,27.34,20.58,19.66,15.53,18.74,2%,76
3/24/2003,864.23,23.17,18.97,22.05,17.34,26.57,19.85,18.89,14.9,18.28,-4%,1
3/25/2003,874.74,23.51,18.98,22.25,17.47,27.1,19.89,18.91,15.11,18.53,1%,63
3/26/2003,869.95,23.54,18.91,22.3,17.39,26.89,19.89,18.86,15.06,18.37,-1%,17
3/27/2003,868.52,23.45,18.95,22.48,17.28,26.99,19.84,18.64,14.89,18.46,0%,30
3/28/2003,863.5,23.21,18.75,22.68,17.26,27.03,19.62,18.68,14.7,18.49,-1%,16
3/31/2003,848.18,22.73,18.57,22.32,16.86,26.72,19.31,18.38,14.3,18.4,-2%,3
4/1/2003,858.48,23,18.51,22.74,17.3,27.09,19.58,18.58,14.47,18.53,1%,62
4/2/2003,880.9,23.6,18.9,22.69,17.76,27.49,20.02,18.96,15.09,18.54,3%,77
4/3/2003,876.45,23.72,18.77,22.27,17.68,27.42,20,18.77,15.05,18.47,-1%,19
4/4/2003,878.85,23.89,18.85,22.39,17.86,27.53,20.05,18.88,14.88,18.7,0%,44
4/7/2003,879.93,24.1,18.75,22.22,17.92,27.29,20.2,19.03,14.92,18.7,0%,38
4/8/2003,878.29,24.12,18.97,21.95,17.92,27.32,20.12,18.91,14.77,18.58,0%,27
